Name,Location,Status,BRYSON NOTES
Graymont,22S 10W,Waiting For Review,
Crypto ZN (Think they are paid but... https://mlrs.blm.gov/s/blm-case/a02t00000058HHzAAM/c3938296),UT 26 0110S 0140W 016 A SW,Waiting For Review,
Silver Dome (https://mlrs.blm.gov/s/blm-case/a02t00000058DmSAAU/c3924809),11S 14W 30 NW,Waiting For Review,
South Fish Springs Wildlife Refuge,12S 13W (whole section),Waiting For Review,
Jack Rabbit,21S 14E 23,Waiting For Review,
"Coyote Mine - Juab County
https://ugspub.nr.utah.gov/publications/uranium_data/MD00615_2.pdf
Some claims Patent - some NOT paid",11S 7W & 6W,Waiting For Review,
"Blawn Mtn - RUBESCENT BERYL
https://mlrs.blm.gov/s/blm-case/a02t0000007lW7ZAAU/c7829656",29S 14W 17&18,Waiting For Review,
Ochre Springs,UT 26 0080S 0180W 014 A NW,Waiting For Review,
"Sullivan Shaft (not mining claim - Patented??)
https://ugspub.nr.utah.gov/publications/uranium_data/MD00562_20.pdf",12S 5W 33S,Waiting For Review,
Thompson Creek Deposit - TUNGSTEN -- IDAHO,12N 16E S33 (IDAHO),Waiting For Review,
Right by Tem Piute & south of Rachel -- Looks like there is a Patent Claim but then all the Lode Claims are UNPAID,4S 55E 12 (and areas south of that),Waiting For Review,
