County,Docket,Agency,File size,Property name,All commodities,,#,Mine Name,County,Commodity,Approx. Coordinates,Status
Beaver,262,DMA,11 MB,Horn Silver Mine,Zinc,,1,Horn Silver Mine,Beaver,"Zinc, Silver","38.5136, -113.2622",Inactive
Beaver,989,DMA,75 MB,Harrinton - Hickory Mine,"Lead-zinc, silver, copper, gold",,2,Harrington-Hickory,Beaver,"Lead-Zinc, Silver","38.3891, -113.1000",Inactive
Beaver,1853,DMA,10 MB,Harrington Hickory Consolidated,"Lead-zinc, copper",,3,Harrington Hickory Cons.,Beaver,"Lead-Zinc, Copper","38.3891, -113.1000",Inactive
Beaver,2182,DMEA,59 MB,Monarch & Eureka Mines,"Fluorspar, uranium",,4,Monarch & Eureka,Beaver,"Fluorspar, Uranium","38.2331, -113.5831",Inactive
Beaver,2710,DMEA,63 MB,Mystery-Sniffer Group,Uranium,,5,Mystery-Sniffer Group,Beaver,Uranium,"38.4167, -112.5333",Inactive
Beaver,2761,DMEA,4 MB,North Creek Area,Uranium,,6,North Creek Area,Beaver,Uranium,"38.3225, -112.5650",Inactive
Beaver,4228,DMEA,55 MB,Wah Wah Mine,Lead-zinc,,7,Wah Wah Mine,Beaver,Lead-Zinc,"38.4611, -113.5222",Inactive
Beaver,4815,DMEA,12 MB,Mystery Sniffer Claims,Uranium,,8,Mystery Sniffer Claims,Beaver,Uranium,"38.4167, -112.5333",Inactive
Beaver,4934,DMEA,<1 MB,Mt. Baldy Mining District,Uranium,,9,Mt. Baldy District,Beaver,Uranium,"38.3840, -112.3810",Inactive
Beaver,6009,OME,9 MB,Laura Mae Claims,"Uranium, cobalt",,10,Laura Mae Claims,Beaver,"Uranium, Cobalt","38.4150, -112.5350",Inactive
Beaver,6098,OME,<1 MB,Creole Mine,"Copper, zinc",,11,Creole Mine (6098),Beaver,"Copper, Zinc","38.2629, -112.8885",Inactive
Beaver,6105,OME,3 MB,Creole Mine,"Lead-zinc, copper, bismuth",,12,Creole Mine (6105),Beaver,"Lead-Zinc, Copper","38.2629, -112.8885",Inactive
Beaver,6529,OME,11 MB,Tintic Lead Co. Lease,Silver,,13,Tintic Lead Co. Lease,Beaver,Silver,"38.3900, -113.1000",Inactive
Box Elder,205,DMA,<1 MB,None identified,"Lead, zinc",,14,None Identified (205),Box Elder,Lead-Zinc,Unknown,Unknown
Box Elder,2514,DMEA,8 MB,Lone Pine Mine,Tungsten,,15,Lone Pine Mine,Box Elder,Tungsten,"41.7600, -113.5200",Inactive
Box Elder,6150,OME,1 MB,"Sec.13.T8N,R2W.",Iron,,16,"Sec.13, T8N, R2W",Box Elder,Iron,"41.4280, -112.0430",Inactive
Box Elder,6404,OME,<1 MB,Linzy Pines Group of Claims,"Silver, gold",,17,Linzy Pines Group,Box Elder,"Silver, Gold","41.8667, -113.5000",Inactive
Box Elder,6452,OME,119 MB,Vipont Property,Silver,,18,Vipont Property,Box Elder,Silver,"41.9700, -113.6800",Inactive
Box Elder,6513,OME,8 MB,State School Lease and Mogul Claims,Silver,,19,State School / Mogul,Box Elder,Silver,"41.3400, -113.9100",Inactive
Box Elder,6732,OME,8 MB,Lucin Mining District,Silver,,20,Lucin Mining District,Box Elder,Silver,"41.3420, -113.9110",Abandoned
Cache,3140,DMEA,3 MB,Helen Claims,Manganese,,21,Helen Claims,Cache,Manganese,"41.4297, -111.7867",Inactive
Daggett,1479,DMA,16 MB,Yellow Canary Lode,"Uranium, vanadium",,22,Yellow Canary Lode,Daggett,Uranium,"40.9200, -109.5800",Inactive
Daggett,4706,DMEA,2 MB,Triad Mining Group,Manganese,,23,Triad Mining Group,Daggett,Manganese,"40.9000, -109.6000",Inactive
Duchesne,1037,DMA,1 MB,McClements Mine,"Lead-zinc, copper",,24,McClements Mine,Duchesne,"Lead-Zinc, Copper","40.5053, -110.7769",Inactive
Emery,1631,DMA,87 MB,Bow Knot Bend Area,Uranium,,25,Bow Knot Bend Area,Emery,Uranium,"38.5460, -110.1550",Inactive
Emery,2689,DMEA,20 MB,Chute Canyon Mines,Uranium,,26,Chute Canyon Mines,Emery,Uranium,"38.7420, -110.7890",Inactive
Emery,2776,DMEA,21 MB,Blue Bird Claims,Uranium,,27,Blue Bird Claims,Emery,Uranium,"38.5608, -110.9563",Inactive
Emery,3002,DMEA,3 MB,Lone Tree Claims,Uranium,,28,Lone Tree Claims,Emery,Uranium,"39.0431, -110.6956",Inactive
Emery,3056,DMEA,11 MB,Spotted Wolf Claims No. 1 & 2,Uranium,,29,Spotted Wolf Claims,Emery,Uranium,"38.9710, -110.4220",Inactive
Emery,3058,DMEA,6 MB,Discovery and Morrison Claim Groups,Uranium,,30,Discovery/Morrison,Emery,Uranium,"38.9800, -110.1500",Inactive
Emery,3206,DMEA,2 MB,Conrad Claims,Uranium,,31,Conrad Claims,Emery,Uranium,"38.8310, -110.8710",Inactive
Emery,3503,DMEA,24 MB,Vanadium King Claims,Uranium,,32,Vanadium King Claims,Emery,Uranium,"38.6520, -110.7420",Inactive
Emery,3553,DMEA,77 MB,Ryan Group of Claims,Uranium,,33,Ryan Group of Claims,Emery,Uranium,"38.5000, -110.0000",Inactive
Emery,3597,DMEA,8 MB,Cedar Ridge and Blackbird Group of Claims,Uranium,,34,Cedar Ridge/Blackbird,Emery,Uranium,"38.8000, -110.6000",Inactive
Emery,3620,DMEA,67 MB,"Dede, et al. Claims",Uranium,,35,"Dede, et al. Claims",Emery,Uranium,"38.6000, -110.8000",Inactive
Emery,3652,DMEA,3 MB,None Specified,Uranium,,36,None Specified (3652),Emery,Uranium,Unknown,Inactive
Emery,3681,DMEA,5 MB,"Sec.36, T21S., R14E.",Uranium,,37,"Sec.36, T21S, R14E",Emery,Uranium,"38.9740, -110.3220",Inactive
Emery,3730,DMEA,52 MB,Ouray Ventures Property,Uranium,,38,Ouray Ventures,Emery,Uranium,"38.9700, -110.1600",Inactive
Emery,3761,DMEA,11 MB,"Thunderbird , et al., claims",Uranium,,39,"Thunderbird, et al.",Emery,Uranium,"38.9000, -110.2000",Inactive
Emery,3767,DMEA,97 MB,Jack Rabbit No. 1-6 Claims,Uranium,,40,Jack Rabbit 1-6,Emery,Uranium,"38.9720, -110.3550",Inactive
Emery,3841,DMEA,26 MB,"Little Susan,A & G, and Green Dragon Mines",Uranium,,41,Little Susan Group,Emery,Uranium,"38.5866, -110.9949",Inactive
Emery,3871,DMEA,39 MB,"Bi-Valve Claims, et al.",Uranium,,42,Bi-Valve Claims,Emery,Uranium,"38.9810, -110.1510",Inactive
Emery,3883,DMEA,14 MB,Sunlight Claims,Uranium,,43,Sunlight Claims,Emery,Uranium,"38.9100, -110.7000",Inactive
Emery,3897,DMEA,37 MB,Beth Claims,Uranium,,44,Beth Claims,Emery,Uranium,"38.8200, -110.5100",Inactive
Emery,3928,DMEA,80 MB,Green River Claims,Uranium,,45,Green River Claims,Emery,Uranium,"38.9800, -110.1500",Inactive
Emery,3984,DMEA,29 MB,Desert Queen Mine and State Lease,Uranium,,46,Desert Queen Mine,Emery,Uranium,"38.9700, -110.1400",Inactive
Emery,4054,DMEA,13 MB,Horsethief Canyon Property,Uranium,,47,Horsethief Canyon,Emery,Uranium,"38.5286, -109.9836",Inactive
Emery,4108,DMEA,4 MB,Mexican Seep Claims,Uranium,,48,Mexican Seep Claims,Emery,Uranium,"38.9000, -110.8000",Inactive
Emery,4160,DMEA,3 MB,"Taft, et al., Claims",Uranium,,49,"Taft, et al. Claims",Emery,Uranium,"38.9100, -110.7100",Inactive
Emery,4201,DMEA,88 MB,Dirty Devil Mine,Uranium,,50,Dirty Devil Mine,Emery,Uranium,"38.2900, -110.5100",Inactive
Emery,4210,DMEA,12 MB,North Slope and Oral Claim Groups,Uranium,,#,Mine/Property Name,County,Commodity,Approx. Coordinates,Status
Emery,4244,DMEA,37 MB,Red Butte Claims,Uranium,,,,,,,
Emery,4321,DMEA,5 MB,Headache and Sage Groups,Uranium,,51,Headache and Sage Groups,Emery,Uranium,"38.6830, -110.6720",Inactive
Emery,4584,DMEA,102 MB,"Vanura 2, et al., Claims",Uranium,,52,"Vanura 2, et al.",Emery,Uranium,"38.6510, -110.6750",Inactive
